Size,Time,Comparisons,Swaps
1,0.00047206878662109375,0,0
2,0.0006816387176513672,0,0
3,0.0007467269897460938,0,0
4,0.0002701282501220703,0,0
5,0.00023746490478515625,0,0
10,0.00023746490478515625,0,0
250,0.0003113746643066406,45,12
999,0.0005502700805664062,736,269
9999,0.007672786712646484,34353,25116
50000,0.13157033920288086,673037,623797
